archivo,clase_etiqueta,recolector,arousal,valence,dominance,score_Enojo,score_Feliz,score_Tranquilidad,score_Tristeza,score_propio,suena_a,score_suena_a,delta
VA_14_FE.ogg,Feliz,VA,0.569,0.518,0.546,0.136,0.164,0.376,0.045,0.164,Tranquilidad,0.376,0.212
SG_07_ENO.mp4,Enojo,SG,0.571,0.512,0.561,0.152,0.159,0.363,0.044,0.152,Tranquilidad,0.363,0.211
VA_09_TRI.ogg,Tristeza,VA,0.294,0.463,0.345,0.003,0.007,0.709,0.501,0.501,Tranquilidad,0.709,0.208
VA_02_TRI.ogg,Tristeza,VA,0.396,0.405,0.407,0.021,0.013,0.613,0.418,0.418,Tranquilidad,0.613,0.195
VA_13_ENO.mpeg,Enojo,VA,0.552,0.467,0.586,0.187,0.097,0.371,0.062,0.187,Tranquilidad,0.371,0.184
VZ_08_ENO.ogg,Enojo,VZ,0.609,0.584,0.609,0.152,0.321,0.276,0.014,0.152,Feliz,0.321,0.169
MT_07_TRA.ogg,Tranquilidad,MT,0.668,0.529,0.649,0.298,0.249,0.148,0.009,0.148,Enojo,0.298,0.15
SG_02_TRA.ogg,Tranquilidad,SG,0.326,0.348,0.385,0.01,0.003,0.538,0.684,0.538,Tristeza,0.684,0.146
VZ_05_FEL.ogg,Feliz,VZ,0.539,0.646,0.562,0.056,0.335,0.468,0.019,0.335,Tranquilidad,0.468,0.133
VZ_10_TRI.ogg,Tristeza,VZ,0.303,0.428,0.375,0.005,0.006,0.697,0.564,0.564,Tranquilidad,0.697,0.133
ED_01_ENO_S.ogg,Enojo,ED,0.59,0.538,0.608,0.179,0.215,0.31,0.025,0.179,Tranquilidad,0.31,0.131
MT_05_ENO.ogg,Enojo,MT,0.597,0.54,0.591,0.173,0.224,0.301,0.025,0.173,Tranquilidad,0.301,0.128
MT_09_TRI.ogg,Tristeza,MT,0.228,0.476,0.319,0.001,0.003,0.637,0.522,0.522,Tranquilidad,0.637,0.115
MT_11.mp3_TRI.mpeg,Tristeza,MT,0.258,0.451,0.346,0.002,0.004,0.677,0.568,0.568,Tranquilidad,0.677,0.109
SG_07_TRI.mp4,Tristeza,SG,0.316,0.421,0.365,0.006,0.006,0.667,0.566,0.566,Tranquilidad,0.667,0.101
SG_02_FEL.ogg,Feliz,SG,0.603,0.524,0.605,0.204,0.201,0.278,0.025,0.201,Tranquilidad,0.278,0.077
VA_04_TRI.ogg,Tristeza,VA,0.305,0.41,0.38,0.006,0.005,0.668,0.6,0.6,Tranquilidad,0.668,0.067
ED_03_FEL.ogg,Feliz,ED,0.57,0.617,0.567,0.085,0.334,0.387,0.019,0.334,Tranquilidad,0.387,0.053
MT_01_TRA.ogg,Tranquilidad,MT,0.258,0.418,0.341,0.002,0.003,0.613,0.665,0.613,Tristeza,0.665,0.052
MT_02_ENO.ogg,Enojo,MT,0.618,0.539,0.616,0.211,0.24,0.245,0.018,0.211,Tranquilidad,0.245,0.034
MT_07_ENO.ogg,Enojo,MT,0.713,0.562,0.69,0.304,0.328,0.088,0.003,0.304,Feliz,0.328,0.024
MT_10_TRI.ogg,Tristeza,MT,0.29,0.41,0.364,0.004,0.004,0.645,0.635,0.635,Tranquilidad,0.645,0.01
VZ_02_TRI.ogg,Tristeza,VZ,0.337,0.382,0.386,0.01,0.005,0.606,0.598,0.598,Tranquilidad,0.606,0.008
VZ_07_TRI.ogg,Tristeza,VZ,0.309,0.399,0.371,0.006,0.005,0.633,0.626,0.626,Tranquilidad,0.633,0.007
VZ_08_FEL.ogg,Feliz,VZ,0.718,0.562,0.705,0.314,0.32,0.08,0.003,0.32,Enojo,0.314,-0.005
MT_08_TRA.ogg,Tranquilidad,MT,0.188,0.48,0.283,0.0,0.002,0.523,0.514,0.523,Tristeza,0.514,-0.009
ED_04_FEL.ogg,Feliz,ED,0.615,0.559,0.613,0.184,0.275,0.258,0.016,0.275,Tranquilidad,0.258,-0.018
SG_07_TRA.ogg,Tranquilidad,SG,0.591,0.457,0.592,0.25,0.105,0.275,0.044,0.275,Enojo,0.25,-0.025
SG_01_ENO.ogg,Enojo,SG,0.609,0.443,0.579,0.274,0.098,0.237,0.041,0.274,Tranquilidad,0.237,-0.037
SG_06_ENO.ogg,Enojo,SG,0.609,0.443,0.579,0.274,0.098,0.237,0.041,0.274,Tranquilidad,0.237,-0.037
VA_12_TRI.ogg,Tristeza,VA,0.241,0.425,0.343,0.002,0.002,0.614,0.658,0.658,Tranquilidad,0.614,-0.044
ED_03_ENO_S.ogg,Enojo,ED,0.807,0.56,0.715,0.35,0.301,0.027,0.001,0.35,Feliz,0.301,-0.049
MT_01_TRI.ogg,Tristeza,MT,0.255,0.413,0.355,0.002,0.003,0.622,0.676,0.676,Tranquilidad,0.622,-0.054
ED_01_TRI.ogg,Tristeza,ED,0.306,0.383,0.375,0.006,0.004,0.605,0.666,0.666,Tranquilidad,0.605,-0.062
MT_07_TRI.ogg,Tristeza,MT,0.298,0.384,0.379,0.006,0.003,0.613,0.675,0.675,Tranquilidad,0.613,-0.062
ED_04_TRA_S.ogg,Tranquilidad,ED,0.55,0.651,0.572,0.06,0.368,0.431,0.016,0.431,Feliz,0.368,-0.063
VA_10_TRI.ogg,Tristeza,VA,0.382,0.329,0.416,0.024,0.005,0.483,0.549,0.549,Tranquilidad,0.483,-0.066
SG_08_TRA.ogg,Tranquilidad,SG,0.603,0.524,0.605,0.204,0.201,0.278,0.025,0.278,Enojo,0.204,-0.074
MT_01_FEL.ogg,Feliz,MT,0.615,0.593,0.603,0.145,0.348,0.265,0.013,0.348,Tranquilidad,0.265,-0.083
MT_04_TRI.mp4,Tristeza,MT,0.331,0.368,0.371,0.008,0.004,0.564,0.65,0.65,Tranquilidad,0.564,-0.087
SG_06_TRI.ogg,Tristeza,SG,0.299,0.378,0.375,0.006,0.003,0.596,0.688,0.688,Tranquilidad,0.596,-0.093
SG_04_TRI.ogg,Tristeza,SG,0.223,0.425,0.331,0.001,0.002,0.578,0.674,0.674,Tranquilidad,0.578,-0.096
ED_04_ENO_S.ogg,Enojo,ED,0.97,0.551,0.927,0.176,0.076,0.001,0.0,0.176,Feliz,0.076,-0.1
VZ_04_FEL.mp4,Feliz,VZ,0.585,0.656,0.569,0.071,0.442,0.339,0.011,0.442,Tranquilidad,0.339,-0.103
MT_03_FEL.ogg,Feliz,MT,0.724,0.584,0.697,0.276,0.38,0.077,0.002,0.38,Enojo,0.276,-0.104
VA_05_TRI.mp4,Tristeza,VA,0.284,0.391,0.348,0.004,0.003,0.585,0.7,0.7,Tranquilidad,0.585,-0.115
VA_03_TRI.ogg,Tristeza,VA,0.239,0.415,0.325,0.001,0.002,0.569,0.694,0.694,Tranquilidad,0.569,-0.124
ED_03_TRI_S.ogg,Tristeza,ED,0.366,0.363,0.319,0.008,0.004,0.465,0.601,0.601,Tranquilidad,0.465,-0.136
VA_01_ENO.ogg,Enojo,VA,0.66,0.497,0.634,0.327,0.189,0.157,0.014,0.327,Feliz,0.189,-0.139
SG_03_TRA.ogg,Tranquilidad,SG,0.273,0.445,0.367,0.003,0.005,0.71,0.561,0.71,Tristeza,0.561,-0.148
VA_06_TRA.ogg,Tranquilidad,VA,0.529,0.662,0.512,0.036,0.328,0.502,0.022,0.502,Feliz,0.328,-0.174
ED_02_ENO_S.ogg,Enojo,ED,0.737,0.512,0.694,0.42,0.223,0.064,0.003,0.42,Feliz,0.223,-0.197
SG_05_TRA.ogg,Tranquilidad,SG,0.282,0.46,0.358,0.003,0.006,0.723,0.517,0.723,Tristeza,0.517,-0.206
SG_02_TRI.ogg,Tristeza,SG,0.316,0.332,0.388,0.009,0.002,0.508,0.729,0.729,Tranquilidad,0.508,-0.221
VA_15_TRI.mp4,Tristeza,VA,0.2,0.425,0.272,0.0,0.001,0.456,0.679,0.679,Tranquilidad,0.456,-0.222
VZ_01_TRI.mp4,Tristeza,VZ,0.197,0.416,0.3,0.001,0.001,0.485,0.707,0.707,Tranquilidad,0.485,-0.223
VA_08_TRA.ogg,Tranquilidad,VA,0.314,0.438,0.394,0.007,0.008,0.739,0.509,0.739,Tristeza,0.509,-0.23
VZ_05_TRA.ogg,Tranquilidad,VZ,0.33,0.435,0.394,0.008,0.009,0.726,0.493,0.726,Tristeza,0.493,-0.233
VA_01_TRA.ogg,Tranquilidad,VA,0.547,0.531,0.564,0.122,0.167,0.433,0.047,0.433,Feliz,0.167,-0.267
VZ_01_TRA.mp4,Tranquilidad,VZ,0.359,0.418,0.444,0.019,0.012,0.716,0.435,0.716,Tristeza,0.435,-0.28
VA_09_TRA.ogg,Tranquilidad,VA,0.378,0.438,0.405,0.016,0.016,0.699,0.396,0.699,Tristeza,0.396,-0.303
VA_11_TRI.ogg,Tristeza,VA,0.25,0.366,0.338,0.002,0.001,0.507,0.81,0.81,Tranquilidad,0.507,-0.303
MT_06_TRA.ogg,Tranquilidad,MT,0.51,0.635,0.531,0.042,0.262,0.567,0.031,0.567,Feliz,0.262,-0.305
MT_05_TRA.ogg,Tranquilidad,MT,0.37,0.437,0.412,0.015,0.015,0.716,0.407,0.716,Tristeza,0.407,-0.308
MT_10_ENO.ogg,Enojo,MT,0.743,0.489,0.72,0.487,0.174,0.053,0.003,0.487,Feliz,0.174,-0.313
VA_02_TRA.ogg,Tranquilidad,VA,0.498,0.425,0.499,0.096,0.044,0.481,0.164,0.481,Tristeza,0.164,-0.316
ED_05_TRA.ogg,Tranquilidad,ED,0.53,0.54,0.527,0.085,0.158,0.499,0.059,0.499,Feliz,0.158,-0.341
VZ_07_FEL.ogg,Feliz,VZ,0.836,0.706,0.804,0.123,0.504,0.012,0.0,0.504,Enojo,0.123,-0.382
VZ_08_TRI.ogg,Tristeza,VZ,0.171,0.389,0.282,0.0,0.0,0.39,0.775,0.775,Tranquilidad,0.39,-0.384
VA_10_TRA.ogg,Tranquilidad,VA,0.462,0.438,0.501,0.07,0.039,0.584,0.198,0.584,Tristeza,0.198,-0.386
VZ_08_TRA.ogg,Tranquilidad,VZ,0.513,0.48,0.54,0.11,0.087,0.499,0.095,0.499,Enojo,0.11,-0.388
VA_04_TRA.ogg,Tranquilidad,VA,0.351,0.463,0.416,0.011,0.016,0.788,0.383,0.788,Tristeza,0.383,-0.406
SG_06_TRA.ogg,Tranquilidad,SG,0.512,0.503,0.53,0.093,0.106,0.525,0.087,0.525,Feliz,0.106,-0.42
ED_02_TRA_S.ogg,Tranquilidad,ED,0.422,0.455,0.461,0.035,0.032,0.693,0.259,0.693,Tristeza,0.259,-0.433
MT_03_TRI.ogg,Tristeza,MT,0.243,0.348,0.307,0.001,0.001,0.428,0.867,0.867,Tranquilidad,0.428,-0.439
VA_11_TRA.ogg,Tranquilidad,VA,0.355,0.478,0.408,0.01,0.019,0.799,0.352,0.799,Tristeza,0.352,-0.446
MT_03_TRA.ogg,Tranquilidad,MT,0.42,0.468,0.45,0.03,0.034,0.712,0.253,0.712,Tristeza,0.253,-0.46
MT_03_ENO.ogg,Enojo,MT,0.743,0.442,0.695,0.578,0.116,0.052,0.005,0.578,Feliz,0.116,-0.462
VZ_03_TRA.ogg,Tranquilidad,VZ,0.492,0.559,0.514,0.054,0.143,0.621,0.072,0.621,Feliz,0.143,-0.478
SG_01_TRA.ogg,Tranquilidad,SG,0.353,0.5,0.386,0.008,0.021,0.803,0.322,0.803,Tristeza,0.322,-0.481
ED_02_FEL.ogg,Feliz,ED,0.663,0.691,0.632,0.097,0.657,0.158,0.003,0.657,Tranquilidad,0.158,-0.499
VA_07_TRA.ogg,Tranquilidad,VA,0.425,0.488,0.452,0.029,0.044,0.731,0.218,0.731,Tristeza,0.218,-0.514
SG_03_TRI.ogg,Tristeza,SG,0.126,0.362,0.244,0.0,0.0,0.257,0.777,0.777,Tranquilidad,0.257,-0.52
MT_10_TRA.ogg,Tranquilidad,MT,0.452,0.496,0.496,0.049,0.063,0.688,0.156,0.688,Tristeza,0.156,-0.532
MT_04_TRA.mp4,Tranquilidad,MT,0.43,0.5,0.471,0.033,0.053,0.742,0.187,0.742,Tristeza,0.187,-0.554
ED_01_TRA.ogg,Tranquilidad,ED,0.415,0.495,0.466,0.028,0.044,0.769,0.214,0.769,Tristeza,0.214,-0.555
MT_02_TRA.ogg,Tranquilidad,MT,0.428,0.513,0.471,0.031,0.058,0.76,0.174,0.76,Tristeza,0.174,-0.586
VZ_10_TRA.ogg,Tranquilidad,VZ,0.363,0.528,0.422,0.01,0.032,0.869,0.243,0.869,Tristeza,0.243,-0.626
VA_03_TRA.ogg,Tranquilidad,VA,0.345,0.527,0.421,0.008,0.027,0.889,0.262,0.889,Tristeza,0.262,-0.627
ED_05_ENO_S.ogg,Enojo,ED,0.782,0.398,0.716,0.718,0.069,0.027,0.003,0.718,Feliz,0.069,-0.649
VZ_07_TRA.ogg,Tranquilidad,VZ,0.416,0.539,0.458,0.022,0.063,0.81,0.161,0.81,Tristeza,0.161,-0.649
VZ_09_TRA.ogg,Tranquilidad,VZ,0.358,0.541,0.417,0.009,0.034,0.882,0.228,0.882,Tristeza,0.228,-0.654
VZ_06_FEL.ogg,Feliz,VZ,0.671,0.754,0.636,0.059,0.817,0.127,0.001,0.817,Tranquilidad,0.127,-0.689
ED_03_TRA.ogg,Tranquilidad,ED,0.428,0.571,0.472,0.022,0.09,0.805,0.114,0.805,Tristeza,0.114,-0.69
VZ_02_ENO.ogg,Enojo,VZ,0.928,0.238,0.851,0.709,0.004,0.001,0.0,0.709,Feliz,0.004,-0.705
VZ_04_TRI.ogg,Tristeza,VZ,0.141,0.293,0.258,0.0,0.0,0.215,0.922,0.922,Tranquilidad,0.215,-0.708
MT_05_TRI.ogg,Tristeza,MT,0.134,0.288,0.228,0.0,0.0,0.18,0.892,0.892,Tranquilidad,0.18,-0.712
MT_11.mp3_TRA.mpeg,Tranquilidad,MT,0.384,0.571,0.428,0.01,0.056,0.872,0.158,0.872,Tristeza,0.158,-0.715
