archivo,clase_etiqueta,recolector,score_propio,suena_mas_a,score_suena_mas_a,delta,segunda_opcion,score_segunda,score_enojo,score_tristeza,score_feliz,score_tranquilidad
VZ_10_ENO.ogg,Enojo,VZ,0.405,Tranquilidad,0.669,0.264,Feliz,0.277,0.405,0.197,0.277,0.669
VA_06_TRI.ogg,Tristeza,VA,0.267,Enojo,0.527,0.26,Feliz,0.501,0.527,0.267,0.501,0.379
VZ_07_ENO.ogg,Enojo,VZ,0.388,Tranquilidad,0.642,0.254,Tristeza,0.405,0.388,0.405,0.204,0.642
SG_01_TRI.ogg,Tristeza,SG,0.372,Enojo,0.625,0.253,Feliz,0.625,0.625,0.372,0.625,0.27
VA_12_TRI.ogg,Tristeza,VA,0.274,Enojo,0.527,0.253,Feliz,0.483,0.527,0.274,0.483,0.396
MT_07_TRA.ogg,Tranquilidad,MT,0.37,Enojo,0.616,0.246,Feliz,0.565,0.616,0.168,0.565,0.37
VZ_06_TRI.ogg,Tristeza,VZ,0.257,Tranquilidad,0.5,0.243,Enojo,0.446,0.446,0.257,0.39,0.5
MT_08_TRA.ogg,Tranquilidad,MT,0.317,Enojo,0.549,0.231,Feliz,0.499,0.549,0.379,0.499,0.317
MT_01_TRI.ogg,Tristeza,MT,0.291,Enojo,0.521,0.23,Tranquilidad,0.492,0.521,0.291,0.454,0.492
MT_03_TRA.ogg,Tranquilidad,MT,0.321,Enojo,0.548,0.227,Feliz,0.544,0.548,0.338,0.544,0.321
VZ_08_TRA.ogg,Tranquilidad,VZ,0.394,Enojo,0.616,0.222,Feliz,0.525,0.616,0.213,0.525,0.394
VA_14_FE.ogg,Feliz,VA,0.341,Tranquilidad,0.561,0.219,Enojo,0.463,0.463,0.271,0.341,0.561
SG_08_TRA.ogg,Tranquilidad,SG,0.362,Enojo,0.579,0.217,Feliz,0.515,0.579,0.248,0.515,0.362
VA_01_TRA.ogg,Tranquilidad,VA,0.429,Enojo,0.643,0.214,Feliz,0.531,0.643,0.178,0.531,0.429
VZ_04_FEL.mp4,Feliz,VZ,0.378,Tristeza,0.587,0.209,Enojo,0.289,0.289,0.587,0.378,0.248
MT_04_TRA.mp4,Tranquilidad,MT,0.293,Feliz,0.497,0.204,Enojo,0.389,0.389,0.388,0.497,0.293
VZ_05_FEL.ogg,Feliz,VZ,0.353,Tranquilidad,0.551,0.199,Enojo,0.492,0.492,0.326,0.353,0.551
MT_10_TRA.ogg,Tranquilidad,MT,0.397,Enojo,0.595,0.199,Feliz,0.498,0.595,0.325,0.498,0.397
VZ_01_TRA.mp4,Tranquilidad,VZ,0.398,Tristeza,0.586,0.188,Feliz,0.176,0.162,0.586,0.176,0.398
MT_09_TRI.ogg,Tristeza,MT,0.363,Enojo,0.549,0.185,Feliz,0.476,0.549,0.363,0.476,0.322
ED_01_TRI.ogg,Tristeza,ED,0.308,Tranquilidad,0.489,0.182,Enojo,0.47,0.47,0.308,0.432,0.489
SG_04_ENO.ogg,Enojo,SG,0.394,Tranquilidad,0.572,0.178,Feliz,0.346,0.394,0.323,0.346,0.572
MT_03_TRI.ogg,Tristeza,MT,0.379,Enojo,0.557,0.177,Feliz,0.549,0.557,0.379,0.549,0.252
VZ_05_TRI.ogg,Tristeza,VZ,0.324,Enojo,0.495,0.171,Tranquilidad,0.451,0.495,0.324,0.422,0.451
VZ_03_FEL.ogg,Feliz,VZ,0.382,Tranquilidad,0.549,0.168,Enojo,0.473,0.473,0.15,0.382,0.549
SG_04_TRI.ogg,Tristeza,SG,0.371,Enojo,0.538,0.167,Tranquilidad,0.401,0.538,0.371,0.312,0.401
VA_04_TRI.ogg,Tristeza,VA,0.317,Tranquilidad,0.478,0.161,Enojo,0.447,0.447,0.317,0.438,0.478
MT_02_TRA.ogg,Tranquilidad,MT,0.437,Enojo,0.598,0.161,Feliz,0.472,0.598,0.27,0.472,0.437
VA_06_TRA.ogg,Tranquilidad,VA,0.387,Enojo,0.544,0.157,Feliz,0.467,0.544,0.311,0.467,0.387
SG_07_ENO.mp4,Enojo,SG,0.573,Feliz,0.729,0.155,Tristeza,0.35,0.573,0.35,0.729,0.058
SG_05_TRI.ogg,Tristeza,SG,0.302,Enojo,0.454,0.151,Tranquilidad,0.451,0.454,0.302,0.415,0.451
VA_07_TRI.ogg,Tristeza,VA,0.358,Tranquilidad,0.505,0.147,Enojo,0.489,0.489,0.358,0.264,0.505
MT_07_TRI.ogg,Tristeza,MT,0.377,Enojo,0.524,0.146,Feliz,0.464,0.524,0.377,0.464,0.339
VZ_03_ENO.ogg,Enojo,VZ,0.49,Tranquilidad,0.632,0.142,Feliz,0.309,0.49,0.221,0.309,0.632
VA_14_TRI.ogg,Tristeza,VA,0.354,Enojo,0.494,0.139,Feliz,0.486,0.494,0.354,0.486,0.375
VZ_01_FEL.ogg,Feliz,VZ,0.403,Tranquilidad,0.536,0.133,Enojo,0.461,0.461,0.39,0.403,0.536
VA_11_TRI.ogg,Tristeza,VA,0.46,Enojo,0.591,0.131,Feliz,0.496,0.591,0.46,0.496,0.255
ED_01_FEL.ogg,Feliz,ED,0.535,Enojo,0.656,0.121,Tranquilidad,0.358,0.656,0.207,0.535,0.358
MT_04_TRI.mp4,Tristeza,MT,0.426,Tranquilidad,0.543,0.117,Feliz,0.341,0.273,0.426,0.341,0.543
SG_06_TRA.ogg,Tranquilidad,SG,0.389,Enojo,0.506,0.117,Feliz,0.441,0.506,0.333,0.441,0.389
MT_03_FEL.ogg,Feliz,MT,0.544,Enojo,0.66,0.116,Tranquilidad,0.373,0.66,0.186,0.544,0.373
VZ_06_TRA.ogg,Tranquilidad,VZ,0.428,Enojo,0.544,0.116,Feliz,0.496,0.544,0.247,0.496,0.428
ED_03_FEL.ogg,Feliz,ED,0.466,Enojo,0.582,0.115,Tranquilidad,0.482,0.582,0.238,0.466,0.482
VA_02_TRA.ogg,Tranquilidad,VA,0.412,Enojo,0.526,0.113,Feliz,0.496,0.526,0.168,0.496,0.412
SG_07_TRA.ogg,Tranquilidad,SG,0.444,Enojo,0.555,0.112,Feliz,0.514,0.555,0.175,0.514,0.444
VA_13_TRI.mpeg,Tristeza,VA,0.407,Enojo,0.518,0.111,Feliz,0.503,0.518,0.407,0.503,0.405
MT_04_ENO.mp4,Enojo,MT,0.419,Feliz,0.521,0.102,Tranquilidad,0.372,0.419,0.309,0.521,0.372
SG_02_TRA.ogg,Tranquilidad,SG,0.451,Enojo,0.553,0.102,Tristeza,0.397,0.553,0.397,0.238,0.451
VZ_08_TRI.ogg,Tristeza,VZ,0.415,Enojo,0.516,0.101,Tranquilidad,0.434,0.516,0.415,0.433,0.434
VA_09_ENO.ogg,Enojo,VA,0.483,Tranquilidad,0.582,0.099,Feliz,0.415,0.483,0.165,0.415,0.582
VZ_08_FEL.ogg,Feliz,VZ,0.5,Enojo,0.599,0.099,Tranquilidad,0.418,0.599,0.196,0.5,0.418
VA_11_TRA.ogg,Tranquilidad,VA,0.419,Enojo,0.516,0.097,Feliz,0.436,0.516,0.332,0.436,0.419
MT_05_TRI.ogg,Tristeza,MT,0.448,Enojo,0.538,0.091,Feliz,0.501,0.538,0.448,0.501,0.228
SG_06_TRI.ogg,Tristeza,SG,0.387,Enojo,0.477,0.09,Feliz,0.457,0.477,0.387,0.457,0.335
SG_05_TRA.ogg,Tranquilidad,SG,0.389,Enojo,0.471,0.082,Feliz,0.402,0.471,0.345,0.402,0.389
VZ_04_ENO.ogg,Enojo,VZ,0.498,Tristeza,0.579,0.081,Feliz,0.318,0.498,0.579,0.318,0.293
VZ_02_FEL.ogg,Feliz,VZ,0.522,Enojo,0.602,0.081,Tranquilidad,0.377,0.602,0.23,0.522,0.377
VA_07_ENO.ogg,Enojo,VA,0.486,Tranquilidad,0.562,0.076,Tristeza,0.32,0.486,0.32,0.303,0.562
SG_03_TRA.ogg,Tranquilidad,SG,0.452,Enojo,0.525,0.072,Tristeza,0.427,0.525,0.427,0.251,0.452
MT_06_TRI.ogg,Tristeza,MT,0.513,Enojo,0.583,0.07,Feliz,0.477,0.583,0.513,0.477,0.154
MT_05_TRA.ogg,Tranquilidad,MT,0.449,Enojo,0.518,0.069,Feliz,0.342,0.518,0.248,0.342,0.449
SG_01_FEL.ogg,Feliz,SG,0.446,Enojo,0.51,0.065,Tranquilidad,0.378,0.51,0.336,0.446,0.378
VZ_06_FEL.ogg,Feliz,VZ,0.468,Enojo,0.533,0.065,Tranquilidad,0.527,0.533,0.179,0.468,0.527
SG_02_FEL.ogg,Feliz,SG,0.515,Enojo,0.579,0.063,Tranquilidad,0.362,0.579,0.248,0.515,0.362
MT_01_TRA.ogg,Tranquilidad,MT,0.466,Enojo,0.527,0.061,Feliz,0.462,0.527,0.253,0.462,0.466
ED_04_FEL.ogg,Feliz,ED,0.502,Enojo,0.56,0.058,Tranquilidad,0.472,0.56,0.126,0.502,0.472
MT_02_FEL.ogg,Feliz,MT,0.465,Enojo,0.52,0.056,Tranquilidad,0.426,0.52,0.333,0.465,0.426
VA_15_FE.mp4,Feliz,VA,0.453,Enojo,0.498,0.045,Tranquilidad,0.444,0.498,0.413,0.453,0.444
SG_04_TRA.ogg,Tranquilidad,SG,0.435,Enojo,0.477,0.042,Feliz,0.436,0.477,0.31,0.436,0.435
MT_01_FEL.ogg,Feliz,MT,0.549,Enojo,0.589,0.041,Tranquilidad,0.343,0.589,0.261,0.549,0.343
VA_07_TRA.ogg,Tranquilidad,VA,0.45,Enojo,0.49,0.04,Tristeza,0.356,0.49,0.356,0.342,0.45
VA_08_TRA.ogg,Tranquilidad,VA,0.458,Enojo,0.498,0.04,Feliz,0.463,0.498,0.302,0.463,0.458
VA_09_TRA.ogg,Tranquilidad,VA,0.482,Enojo,0.522,0.04,Feliz,0.475,0.522,0.187,0.475,0.482
VZ_05_ENO.ogg,Enojo,VZ,0.498,Tranquilidad,0.537,0.039,Feliz,0.406,0.498,0.272,0.406,0.537
VZ_06_ENO.ogg,Enojo,VZ,0.503,Tranquilidad,0.54,0.037,Feliz,0.475,0.503,0.264,0.475,0.54
VA_12_FE.ogg,Feliz,VA,0.471,Enojo,0.5,0.03,Tranquilidad,0.449,0.5,0.171,0.471,0.449
VZ_07_FEL.ogg,Feliz,VZ,0.62,Enojo,0.646,0.026,Tranquilidad,0.283,0.646,0.252,0.62,0.283
VZ_07_TRA.ogg,Tranquilidad,VZ,0.438,Tristeza,0.464,0.026,Enojo,0.441,0.441,0.464,0.299,0.438
SG_05_ENO.ogg,Enojo,SG,0.45,Tranquilidad,0.473,0.023,Tristeza,0.392,0.45,0.392,0.368,0.473
VA_04_ENO.ogg,Enojo,VA,0.491,Tranquilidad,0.512,0.022,Feliz,0.443,0.491,0.207,0.443,0.512
VA_10_TRA.ogg,Tranquilidad,VA,0.529,Enojo,0.549,0.02,Feliz,0.437,0.549,0.266,0.437,0.529
VA_01_ENO.ogg,Enojo,VA,0.537,Tranquilidad,0.549,0.012,Feliz,0.4,0.537,0.113,0.4,0.549
VA_12_ENO.ogg,Enojo,VA,0.468,Tranquilidad,0.478,0.011,Feliz,0.465,0.468,0.355,0.465,0.478
VZ_09_TRI.ogg,Tristeza,VZ,0.456,Enojo,0.467,0.011,Tranquilidad,0.449,0.467,0.456,0.424,0.449
VZ_09_ENO.ogg,Enojo,VZ,0.474,Tristeza,0.476,0.001,Tranquilidad,0.43,0.474,0.476,0.376,0.43
ED_03_ENO_S.ogg,Enojo,ED,0.812,Feliz,0.809,-0.002,Tranquilidad,0.194,0.812,0.137,0.809,0.194
ED_02_FEL.ogg,Feliz,ED,0.764,Enojo,0.75,-0.014,Tranquilidad,0.209,0.75,0.196,0.764,0.209
MT_11.mp3_TRA.mpeg,Tranquilidad,MT,0.453,Tristeza,0.439,-0.015,Enojo,0.397,0.397,0.439,0.391,0.453
VZ_08_ENO.ogg,Enojo,VZ,0.565,Tranquilidad,0.549,-0.016,Feliz,0.368,0.565,0.19,0.368,0.549
VZ_05_TRA.ogg,Tranquilidad,VZ,0.465,Enojo,0.448,-0.016,Feliz,0.391,0.448,0.357,0.391,0.465
VA_13_FE.mpeg,Feliz,VA,0.665,Enojo,0.647,-0.018,Tranquilidad,0.296,0.647,0.293,0.665,0.296
VA_15ENO.mp4,Enojo,VA,0.533,Feliz,0.511,-0.021,Tristeza,0.502,0.533,0.502,0.511,0.269
VA_06_ENO.ogg,Enojo,VA,0.516,Tranquilidad,0.49,-0.026,Feliz,0.425,0.516,0.303,0.425,0.49
VA_04_TRA.ogg,Tranquilidad,VA,0.481,Enojo,0.454,-0.027,Feliz,0.414,0.454,0.266,0.414,0.481
VA_14_ENO.ogg,Enojo,VA,0.505,Tranquilidad,0.475,-0.03,Feliz,0.451,0.505,0.329,0.451,0.475
MT_11.mp3_ENO.mpeg,Enojo,MT,0.494,Feliz,0.461,-0.033,Tranquilidad,0.397,0.494,0.336,0.461,0.397
VA_05_ENO.mp4,Enojo,VA,0.567,Feliz,0.528,-0.038,Tranquilidad,0.434,0.567,0.218,0.528,0.434
ED_05_ENO_S.ogg,Enojo,ED,0.515,Tranquilidad,0.475,-0.039,Feliz,0.433,0.515,0.139,0.433,0.475
VA_02_ENO.ogg,Enojo,VA,0.571,Feliz,0.53,-0.041,Tranquilidad,0.363,0.571,0.16,0.53,0.363
ED_01_ENO_S.ogg,Enojo,ED,0.541,Feliz,0.497,-0.043,Tranquilidad,0.415,0.541,0.185,0.497,0.415
MT_08_ENO.ogg,Enojo,MT,0.515,Feliz,0.468,-0.046,Tranquilidad,0.412,0.515,0.332,0.468,0.412
MT_09_TRA.ogg,Tranquilidad,MT,0.504,Enojo,0.458,-0.046,Tristeza,0.362,0.458,0.362,0.314,0.504
VZ_07_TRI.ogg,Tristeza,VZ,0.533,Tranquilidad,0.478,-0.055,Enojo,0.365,0.365,0.533,0.229,0.478
ED_04_ENO_S.ogg,Enojo,ED,0.751,Feliz,0.694,-0.057,Tristeza,0.224,0.751,0.224,0.694,0.19
SG_01_ENO.ogg,Enojo,SG,0.669,Feliz,0.61,-0.059,Tranquilidad,0.358,0.669,0.308,0.61,0.358
SG_06_ENO.ogg,Enojo,SG,0.669,Feliz,0.61,-0.059,Tranquilidad,0.358,0.669,0.308,0.61,0.358
MT_01_ENO.ogg,Enojo,MT,0.547,Feliz,0.487,-0.06,Tranquilidad,0.463,0.547,0.202,0.487,0.463
SG_03_TRI.ogg,Tristeza,SG,0.509,Enojo,0.445,-0.064,Feliz,0.396,0.445,0.509,0.396,0.374
ED_02_ENO_S.ogg,Enojo,ED,0.597,Feliz,0.527,-0.07,Tranquilidad,0.373,0.597,0.169,0.527,0.373
VA_13_ENO.mpeg,Enojo,VA,0.572,Feliz,0.5,-0.072,Tranquilidad,0.459,0.572,0.231,0.5,0.459
VZ_02_ENO.ogg,Enojo,VZ,0.734,Feliz,0.663,-0.072,Tranquilidad,0.328,0.734,0.144,0.663,0.328
SG_03_ENO.ogg,Enojo,SG,0.525,Tristeza,0.448,-0.077,Tranquilidad,0.405,0.525,0.448,0.267,0.405
ED_01_TRA.ogg,Tranquilidad,ED,0.571,Enojo,0.493,-0.078,Feliz,0.429,0.493,0.184,0.429,0.571
MT_07_ENO.ogg,Enojo,MT,0.605,Feliz,0.516,-0.089,Tranquilidad,0.411,0.605,0.18,0.516,0.411
MT_09_ENO.ogg,Enojo,MT,0.572,Feliz,0.483,-0.089,Tristeza,0.39,0.572,0.39,0.483,0.301
ED_05_TRA.ogg,Tranquilidad,ED,0.569,Enojo,0.48,-0.09,Feliz,0.43,0.48,0.1,0.43,0.569
MT_03_ENO.ogg,Enojo,MT,0.694,Feliz,0.603,-0.091,Tranquilidad,0.245,0.694,0.205,0.603,0.245
VA_03_ENO.ogg,Enojo,VA,0.661,Feliz,0.57,-0.091,Tranquilidad,0.274,0.661,0.246,0.57,0.274
VA_08_ENO.ogg,Enojo,VA,0.589,Feliz,0.496,-0.093,Tranquilidad,0.368,0.589,0.333,0.496,0.368
VZ_03_TRA.ogg,Tranquilidad,VZ,0.556,Enojo,0.463,-0.093,Feliz,0.33,0.463,0.195,0.33,0.556
VZ_04_TRI.ogg,Tristeza,VZ,0.589,Enojo,0.496,-0.094,Feliz,0.433,0.496,0.589,0.433,0.201
ED_02_TRA_S.ogg,Tranquilidad,ED,0.573,Enojo,0.475,-0.099,Feliz,0.314,0.475,0.21,0.314,0.573
MT_05_ENO.ogg,Enojo,MT,0.696,Feliz,0.594,-0.102,Tristeza,0.284,0.696,0.284,0.594,0.272
VA_10_ENO.ogg,Enojo,VA,0.591,Tranquilidad,0.486,-0.105,Feliz,0.464,0.591,0.262,0.464,0.486
MT_02_ENO.ogg,Enojo,MT,0.662,Feliz,0.549,-0.113,Tranquilidad,0.308,0.662,0.248,0.549,0.308
VA_11_ENO.ogg,Enojo,VA,0.619,Feliz,0.504,-0.115,Tristeza,0.427,0.619,0.427,0.504,0.273
MT_10_ENO.ogg,Enojo,MT,0.683,Feliz,0.56,-0.122,Tranquilidad,0.335,0.683,0.175,0.56,0.335
MT_06_ENO.ogg,Enojo,MT,0.627,Feliz,0.504,-0.123,Tristeza,0.399,0.627,0.399,0.504,0.304
VZ_09_TRA.ogg,Tranquilidad,VZ,0.549,Tristeza,0.42,-0.129,Enojo,0.395,0.395,0.42,0.248,0.549
SG_02_ENO.ogg,Enojo,SG,0.575,Tranquilidad,0.389,-0.186,Tristeza,0.38,0.575,0.38,0.34,0.389
VZ_01_TRI.mp4,Tristeza,VZ,0.617,Tranquilidad,0.408,-0.209,Enojo,0.152,0.152,0.617,0.106,0.408
MT_11.mp3_TRI.mpeg,Tristeza,MT,0.58,Feliz,0.37,-0.21,Tranquilidad,0.321,0.288,0.58,0.37,0.321
VZ_10_TRA.ogg,Tranquilidad,VZ,0.695,Enojo,0.363,-0.332,Feliz,0.246,0.363,0.234,0.246,0.695
ED_01_ABU.ogg,Aburrido,ED,,Tranquilidad,0.502,,Enojo,0.486,0.486,0.211,0.397,0.502
ED_02_ABU_S.ogg,Aburrido,ED,,Enojo,0.501,,Feliz,0.471,0.501,0.204,0.471,0.435
ED_03_ABU_S.ogg,Aburrido,ED,,Feliz,0.836,,Enojo,0.712,0.712,0.159,0.836,0.258
ED_04_ABU_S.ogg,Aburrido,ED,,Enojo,0.648,,Feliz,0.579,0.648,0.352,0.579,0.208
ED_05_ABU_S.ogg,Aburrido,ED,,Enojo,0.577,,Feliz,0.549,0.577,0.179,0.549,0.312
MT_01_ABU.ogg,Aburrido,MT,,Tranquilidad,0.566,,Enojo,0.495,0.495,0.22,0.426,0.566
MT_02_ABU.ogg,Aburrido,MT,,Enojo,0.553,,Feliz,0.499,0.553,0.362,0.499,0.357
MT_03_ABU.ogg,Aburrido,MT,,Enojo,0.528,,Feliz,0.524,0.528,0.266,0.524,0.411
MT_04_ABU.mp4,Aburrido,MT,,Tranquilidad,0.548,,Tristeza,0.412,0.295,0.412,0.408,0.548
MT_05_ABU.ogg,Aburrido,MT,,Enojo,0.552,,Feliz,0.492,0.552,0.273,0.492,0.393
MT_06_ABU.ogg,Aburrido,MT,,Enojo,0.663,,Feliz,0.511,0.663,0.366,0.511,0.304
MT_07_ABU.ogg,Aburrido,MT,,Enojo,0.605,,Feliz,0.49,0.605,0.254,0.49,0.451
MT_08_ABU.ogg,Aburrido,MT,,Enojo,0.539,,Feliz,0.524,0.539,0.37,0.524,0.322
MT_09_ABU.ogg,Aburrido,MT,,Tranquilidad,0.565,,Enojo,0.442,0.442,0.317,0.36,0.565
MT_10_ABU.ogg,Aburrido,MT,,Enojo,0.589,,Feliz,0.533,0.589,0.38,0.533,0.241
MT_11.mp3_ABU.mpeg,Aburrido,MT,,Tristeza,0.494,,Enojo,0.423,0.423,0.494,0.413,0.358
SG_01_ABU.ogg,Aburrido,SG,,Feliz,0.569,,Enojo,0.545,0.545,0.512,0.569,0.136
SG_02_ABU.ogg,Aburrido,SG,,Tristeza,0.545,,Enojo,0.506,0.506,0.545,0.402,0.29
SG_03_ABU.ogg,Aburrido,SG,,Enojo,0.523,,Tranquilidad,0.44,0.523,0.407,0.226,0.44
SG_04_ABU.ogg,Aburrido,SG,,Tranquilidad,0.682,,Enojo,0.349,0.349,0.343,0.299,0.682
SG_05_ABU.ogg,Aburrido,SG,,Tranquilidad,0.502,,Enojo,0.437,0.437,0.321,0.259,0.502
SG_06_ABU.ogg,Aburrido,SG,,Enojo,0.506,,Feliz,0.441,0.506,0.333,0.441,0.389
SG_07_ABU.ogg,Aburrido,SG,,Enojo,0.555,,Feliz,0.514,0.555,0.175,0.514,0.444
SG_08_ABU.ogg,Aburrido,SG,,Enojo,0.579,,Feliz,0.515,0.579,0.248,0.515,0.362
SG_09_ABU.mp4,Aburrido,SG,,Feliz,0.775,,Enojo,0.599,0.599,0.35,0.775,0.027
VA_01_ABU.ogg,Aburrido,VA,,Enojo,0.57,,Tranquilidad,0.532,0.57,0.164,0.462,0.532
VA_02_ABU.ogg,Aburrido,VA,,Enojo,0.508,,Feliz,0.502,0.508,0.201,0.502,0.349
VA_03_ABU.ogg,Aburrido,VA,,Enojo,0.639,,Feliz,0.563,0.639,0.297,0.563,0.232
VA_04_ABU.ogg,Aburrido,VA,,Tranquilidad,0.465,,Feliz,0.464,0.452,0.239,0.464,0.465
VA_05_ABU.mp4,Aburrido,VA,,Enojo,0.567,,Feliz,0.528,0.567,0.218,0.528,0.434
VA_06_ABU.ogg,Aburrido,VA,,Enojo,0.48,,Tranquilidad,0.433,0.48,0.328,0.42,0.433
VA_07_ABU.ogg,Aburrido,VA,,Tranquilidad,0.498,,Enojo,0.48,0.48,0.389,0.304,0.498
VA_08_ABU.ogg,Aburrido,VA,,Enojo,0.51,,Feliz,0.482,0.51,0.441,0.482,0.26
VA_10_ABU.ogg,Aburrido,VA,,Enojo,0.527,,Tranquilidad,0.463,0.527,0.367,0.426,0.463
VA_11_ABU.ogg,Aburrido,VA,,Enojo,0.524,,Feliz,0.423,0.524,0.397,0.423,0.417
VZ_01_ABU.mp4,Aburrido,VZ,,Tristeza,0.641,,Feliz,0.359,0.258,0.641,0.359,0.331
VZ_02_ABU.ogg,Aburrido,VZ,,Enojo,0.578,,Feliz,0.515,0.578,0.433,0.515,0.279
VZ_03_ABU.ogg,Aburrido,VZ,,Enojo,0.565,,Feliz,0.494,0.565,0.228,0.494,0.44
VZ_04_ABU.ogg,Aburrido,VZ,,Tristeza,0.615,,Enojo,0.457,0.457,0.615,0.307,0.156
VZ_05_ABU.ogg,Aburrido,VZ,,Enojo,0.503,,Feliz,0.448,0.503,0.41,0.448,0.36
VZ_06_ABU.ogg,Aburrido,VZ,,Tranquilidad,0.51,,Enojo,0.444,0.444,0.285,0.383,0.51
VZ_07_ABU.ogg,Aburrido,VZ,,Tristeza,0.55,,Tranquilidad,0.467,0.301,0.55,0.109,0.467
VZ_08_ABU.ogg,Aburrido,VZ,,Enojo,0.59,,Tranquilidad,0.52,0.59,0.212,0.416,0.52
VZ_09_ABU.ogg,Aburrido,VZ,,Tristeza,0.497,,Enojo,0.486,0.486,0.497,0.367,0.326
VZ_10_ABU.ogg,Aburrido,VZ,,Tranquilidad,0.698,,Enojo,0.34,0.34,0.225,0.198,0.698
